project_title,location,contractor,contract_cost_raw,contract_cost_numeric,start_date,completion_date,region,contract_id,data_contractor,data_location
"Construction of Basey Tide Embankment, Basey, Samar",SAMAR (WESTERN SAMAR),NORTHERN BUILDERS / RIANNE CONSTRUCTION,MYCA with Project ID P00320211VS,,08/14/2019,08/08/2023,Region VIII,19I00115,NORTHERN BUILDERS / RIANNE CONSTRUCTION,SAMAR (WESTERN SAMAR)
"Construction of Flood Control/Drainage, Barangay Marigondon, Basak and Babag, Lapu-lapu City, Cebu",CEBU,EDANNA CONSTRUCTION / GOLDFIN CONSTRUCTION & DEVELOPMENT CORPORATION (FORMERLY: GOLDFIN CONSTRUCTION),"60,833,104.17","60,833,104.17",03/31/2022,07/31/2023,Region VII,21HN0069,EDANNA CONSTRUCTION / GOLDFIN CONSTRUCTION & DEVELOPMENT CORPORATION (FORMERLY: GOLDFIN CONSTRUCTION),CEBU
"Construction of Flood Control Structures along Lambakin Sta. 20+150- Sta. 21+050, San Miguel, Bulacan",BULACAN,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"47,034,974.07","47,034,974.07",03/30/2022,06/26/2023,Region III,21CD0131,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,BULACAN
"Construction of Seawall, Brgy. Buenasuerte, El Nido, Palawan",PALAWAN,LOUIESE TRADING AND CONSTRUCTION,"7,778,048.48","7,778,048.48",01/24/2022,06/25/2023,Region IV-B,21EE0101,LOUIESE TRADING AND CONSTRUCTION,PALAWAN
"Construction/Improvement of Bulihan-Longos Creek, Malolos City",BULACAN,TRICHES CONSTRUCTION & TRADING / FRAMECON BUILDERS,"96,498,474.65","96,498,474.65",02/02/2022,06/23/2023,Region III,21CC0291,TRICHES CONSTRUCTION & TRADING / FRAMECON BUILDERS,BULACAN
"Construction of Storm Surge Protection: Calogcog Backwater Dike, Left Bank, Barangay Buntay, Tanauan, Leyte",LEYTE,"L.N.R. CONSTRUCTION / SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","94,857,029.25","94,857,029.25",02/22/2021,06/13/2023,Region VIII,21I00036,"L.N.R. CONSTRUCTION / SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",LEYTE
"Construction of Calapan City River Control, Ibaba West to Lumangbayan, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,"A.L. SALAZAR CONSTRUCTION, INC. / ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION)","94,086,578.05","94,086,578.05",04/10/2022,06/10/2023,Region IV-B,21ED0164,"A.L. SALAZAR CONSTRUCTION, INC. / ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION)",ORIENTAL MINDORO
"Construction of Flood Mitigation Structure along Bago Gallera Creek, Rosalina Village Section, Left Bank, Davao City",DAVAO DEL SUR,GENESIS88 CONSTRUCTION INC.,"86,850,000.00","86,850,000.00",12/05/2021,06/04/2023,Region XI,21LB0301,GENESIS88 CONSTRUCTION INC.,DAVAO DEL SUR
"Construction of Revetment along Matina River, Matina Pangi Downstream, Matina Pangi Section, Davao City",DAVAO DEL SUR,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"87,573,750.00","87,573,750.00",12/05/2021,05/31/2023,Region XI,21LB0299,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),DAVAO DEL SUR
"Rehabilitation/Improvement of Pacheco Drainage Main and Construction of Pumping Station, Tondo, Manila City",CITY OF MANILA,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,"48,403,077.09","48,403,077.09",03/30/2022,05/30/2023,National Capital Region,21OE0021,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,CITY OF MANILA
"Construction of Revetment Wall along Aklan River, Sta. 8 + 107.75 - Sta. 8 + 680, Brgy. Tigayon, Kalibo, Aklan",AKLAN,"MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.","92,777,160.39","92,777,160.39",05/12/2021,05/29/2023,Region VI,21GA0193,"MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.",AKLAN
"Construction of River Protection along Pula River, Paluan, Occidental Mindoro",OCCIDENTAL MINDORO,"NEW MINDORENOS LUMBER, HARDWARE AND GEN MERCHANDISE","19,042,647.14","19,042,647.14",09/23/2021,05/29/2023,Region IV-B,21EB0120,"NEW MINDORENOS LUMBER, HARDWARE AND GEN MERCHANDISE",OCCIDENTAL MINDORO
"Construction of Seawall at NHA Bangkal Relocation, Davao City",DAVAO DEL SUR,"DREIRICH BUILDERS / THREE W BUILDERS, INC.","96,500,000.00","96,500,000.00",12/01/2021,05/25/2023,Region XI,21LB0289,"DREIRICH BUILDERS / THREE W BUILDERS, INC.",DAVAO DEL SUR
"Construction of Davao River Flood Control System, Davao City",DAVAO DEL SUR,"MRD GEMPESAW CONSTRUCTION CORP. / MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.","47,723,221.79","47,723,221.79",12/23/2021,05/24/2023,Region XI,21LB0307,"MRD GEMPESAW CONSTRUCTION CORP. / MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.",DAVAO DEL SUR
"Construction of Storm Surge Protection: Calogcog Backwater Dike, Left Bank, Barangay Magay, Tanauan, Leyte",LEYTE,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","95,246,996.07","95,246,996.07",09/06/2021,05/21/2023,Region VIII,21I00095,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",LEYTE
"Drainage System Leading to Dacudao Maindrain, Davao City",DAVAO DEL SUR,ABU CONSTRUCTION,"56,610,760.00","56,610,760.00",08/16/2021,04/30/2023,Region XI,21LB0118,ABU CONSTRUCTION,DAVAO DEL SUR
"Construction/Rehabilitation of Greenheights Subdivision Box Culvert, Marikina City",MARIKINA CITY,"F.P. DE GUZMAN CONSTRUCTION, INC.","46,534,811.01","46,534,811.01",05/14/2021,04/28/2023,National Capital Region,21OB0175,"F.P. DE GUZMAN CONSTRUCTION, INC.",MARIKINA CITY
"Construction of Bank Protection along Wawa River Protecting the National Road, along Bayugan - Esperanza Road (Crossing Luna Section), Agusan del Sur, Package 2",AGUSAN DEL SUR,CM TAN CONSTRUCTION,"96,486,483.84","96,486,483.84",05/30/2022,04/25/2023,Region XIII,22NB0055,CM TAN CONSTRUCTION,AGUSAN DEL SUR
"Construction of Flood Control Structure along Palilan River (Pl-6, Left Bank), Jimenez, Misamis Occidental",MISAMIS OCCIDENTAL,C'ZARLES CONSTRUCTION & SUPPLY,"35,108,440.26","35,108,440.26",07/23/2021,04/24/2023,Region X,21K00271,C'ZARLES CONSTRUCTION & SUPPLY,MISAMIS OCCIDENTAL
"Rehabilitation of Existing Dike along Tinang River, (Left and Right Bank), Upstream of Sta. Monica Bridge, Concepcion, Tarlac",TARLAC,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),"67,548,125.86","67,548,125.86",03/24/2022,04/22/2023,Region III,21CK0034,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),TARLAC
"Construction of Revetment along Talomo River, Sta. 0+000 - Sta. 0+213, Sta. 0+405 - Sta. 0+460,Left Bank, Davao City",DAVAO DEL SUR,"MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.","96,500,000.00","96,500,000.00",12/01/2021,04/15/2023,Region XI,21LB0248,"MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.",DAVAO DEL SUR
"Construction of Nabuangan (Upstream) Flood Control, Sta. 38 + 997 - Sta. 39 + 447 (B/S), Brgy. Caglayan, Conner, Apayao",APAYAO,ASC CONSTRUCTION & CONCRETE PRODUCTS,"80,309,010.27","80,309,010.27",12/22/2021,04/14/2023,Cordillera Administrative Region,21PB0013,ASC CONSTRUCTION & CONCRETE PRODUCTS,APAYAO
"Rehabilitation of Flood Control Structure along Tago River (Package 2), San Miguel, Surigao del Sur",SURIGAO DEL SUR,CM TAN CONSTRUCTION,"110,009,989.69","110,009,989.69",08/06/2021,04/12/2023,Region XIII,21N00096,CM TAN CONSTRUCTION,SURIGAO DEL SUR
"Construction of Calapan River Control along Ibaba Section, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,"A.L. SALAZAR CONSTRUCTION, INC. / ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION)","65,861,028.99","65,861,028.99",03/22/2022,04/06/2023,Region IV-B,21ED0165,"A.L. SALAZAR CONSTRUCTION, INC. / ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION)",ORIENTAL MINDORO
"Construction of Flood Control Structure along Iponan River (Phase 2), Brgy. Iponan, Cagayan de Oro City, Misamis Oriental",MISAMIS ORIENTAL,VEN RAY CONSTRUCTION CORPORATION,"26,883,199.83","26,883,199.83",09/06/2021,03/31/2023,Region X,21K00275,VEN RAY CONSTRUCTION CORPORATION,MISAMIS ORIENTAL
"Construction/rehabilitation of slope protection and drainage, Brgy. Uno Creek, Katipunan, Zamboanga del Norte",ZAMBOANGA DEL NORTE,D' DREAMER DEVELOPMENT CORPORATION,MYCA with Project ID P00443081MN,,11/27/2020,03/31/2023,Region IX,20JB0060,D' DREAMER DEVELOPMENT CORPORATION,ZAMBOANGA DEL NORTE
"Construction of Drainage System along Caritan-Balzain Creek, Caritan, Tuguegarao City, Cagayan",CAGAYAN,RPF CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"59,132,762.60","59,132,762.60",11/22/2021,03/31/2023,Region II,21BD0064,RPF CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),CAGAYAN
"Construction of Ta-ang Flood Control Sta. 175+230 - Sta. 175+280 (B.S.), Dangtalan, Pasil, Kalinga",KALINGA,MATAGOAN KJ BUILDERS AND ENGINEERING SERVICES,"4,801,517.62","4,801,517.62",04/10/2022,03/31/2023,Cordillera Administrative Region,21PK0034,MATAGOAN KJ BUILDERS AND ENGINEERING SERVICES,KALINGA
"Construction of Revetment along Matina River, Matina Pangi Bridge-I Upstream, Matina Pangi Section, Left Bank, Davao City",DAVAO DEL SUR,"THREE W BUILDERS, INC.","85,306,000.00","85,306,000.00",12/05/2021,03/27/2023,Region XI,21LB0298,"THREE W BUILDERS, INC.",DAVAO DEL SUR
"Construction of Flood Control Wall along Bank of Creeks in Barangay 177 (Phase 3), Caloocan City",CALOOCAN CITY,"PERSAN CONSTRUCTION, INC. (FORMERLY: PERSAN CONST.","28,680,080.50","28,680,080.50",03/24/2022,03/27/2023,National Capital Region,21OD0192,"PERSAN CONSTRUCTION, INC. (FORMERLY: PERSAN CONST.",CALOOCAN CITY
"Construction of Flood Relief along Butuan City-Talacogon-Loreto-Veruela-Sta Josefa Road - K1326+822 - K1328+985, Agusan del Sur",AGUSAN DEL SUR,MADYAW CONSTRUCTION & DEV. CORPORATION,"96,497,913.33","96,497,913.33",03/29/2021,03/25/2023,Region XIII,21NB0041,MADYAW CONSTRUCTION & DEV. CORPORATION,AGUSAN DEL SUR
"Construction Flood Mitigation Structure protecting Daang Maharlika (MN) at Brgy. Bunawan, Davao City",DAVAO DEL SUR,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"24,500,000.00","24,500,000.00",04/13/2022,03/24/2023,Region XI,21LB0309,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),DAVAO DEL SUR
"Construction of Revetment along Davao River, Sta. 3+171 to Sta. 3+440, Davao City",DAVAO DEL SUR,ABU CONSTRUCTION,MYCA with Project ID P00444617MN,,12/17/2020,03/23/2023,Region XI,20LB0292,ABU CONSTRUCTION,DAVAO DEL SUR
"Construction of Flood Control/Concrete Revetment along Tinagacan-Buayan River (Phase 2), Barangay Tinagacan, General Santos City",SOUTH COTABATO,J.G. ORANZA CONSTRUCTION,"45,389,626.18","45,389,626.18",03/11/2022,03/21/2023,Region XII,21MB0022,J.G. ORANZA CONSTRUCTION,SOUTH COTABATO
"Construction of Revetment along Talomo River, NHA Bangkal Section, Sta. 0+180 - Sta. 0+405, Left Bank, Davao City",DAVAO DEL SUR,KODUS PEERS CONSTRUCTION CORPORATION / RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"96,500,000.00","96,500,000.00",12/01/2021,03/20/2023,Region XI,21LB0247,KODUS PEERS CONSTRUCTION CORPORATION / RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),DAVAO DEL SUR
"Construction of Revetment along Matina River, Sta. 3+060 to Sta. 3+520, Davao City",DAVAO DEL SUR,A.Y.U. ENGINEERING & CONSTRUCTION / ABU CONSTRUCTION,MYCA with Project ID P00420010MN,,12/13/2020,03/20/2023,Region XI,20LB0027,A.Y.U. ENGINEERING & CONSTRUCTION / ABU CONSTRUCTION,DAVAO DEL SUR
"Construction of Drainage System along Caritan-Balzain Creek, Package 2, Caritan, Tuguegarao City, Cagayan",CAGAYAN,RPF CONSTRUCTION,"14,258,479.57","14,258,479.57",11/11/2021,03/19/2023,Region II,21BD0068,RPF CONSTRUCTION,CAGAYAN
"Construction of Flood Mitigation Structure along Marikina River, Barangay Batasan Hills, Quezon City",QUEZON CITY,"A.L. SALAZAR CONSTRUCTION, INC.","82,391,142.18","82,391,142.18",03/24/2022,03/17/2023,National Capital Region,21OF0221,"A.L. SALAZAR CONSTRUCTION, INC.",QUEZON CITY
"Construction Flood Mitigation Structure protecting Daang Maharlika (MN) at Brgy. Sasa, Davao City",DAVAO DEL SUR,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"24,500,000.00","24,500,000.00",04/13/2022,03/16/2023,Region XI,21LB0310,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),DAVAO DEL SUR
"Construction of Flood Mitigation Structures along Agusan River (Tungao Section) Package 1, Butuan City, Agusan del Norte",AGUSAN DEL NORTE,ME 3 CONSTRUCTION,"96,499,728.20","96,499,728.20",08/16/2021,03/15/2023,Region XIII,21N00094,ME 3 CONSTRUCTION,AGUSAN DEL NORTE
"Construction of Ampusongan Flood Control, Bakun, Benguet",BENGUET,TRYST BUILDERS ENTERPRISES / RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,"96,500,000.00","96,500,000.00",07/02/2021,03/15/2023,Cordillera Administrative Region,21P00063,TRYST BUILDERS ENTERPRISES / RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,BENGUET
"Rehabilitation of Drainage System at Barangay Concepcion Dos, Marikina City",MARIKINA CITY,"L.R. TIQUI BUILDERS, INC.","74,449,237.08","74,449,237.08",11/02/2021,03/12/2023,National Capital Region,21OB0264,"L.R. TIQUI BUILDERS, INC.",MARIKINA CITY
"Construction of Flood Control Structures along Calumpang River, Batangas",BATANGAS,"PHESCO, INCORPORATED","143,862,842.03","143,862,842.03",07/21/2021,03/05/2023,Region IV-A,21D00007,"PHESCO, INCORPORATED",BATANGAS
"Construction of Drainage System along Montillano Street Extension and Vicinity, Brgy. Alabang, Muntinlupa City",MUNTINLUPA CITY,AARCON BUILDERS,"9,893,831.88","9,893,831.88",01/07/2022,03/05/2023,National Capital Region,21OI0117,AARCON BUILDERS,MUNTINLUPA CITY
"Construction of Flood Control Structures along Calumpang River, Batangas (Phase II)",BATANGAS,"PHESCO, INCORPORATED","144,749,597.33","144,749,597.33",06/21/2021,03/03/2023,Region IV-A,21D00008,"PHESCO, INCORPORATED",BATANGAS
"Improvement of Balanti Creek and Russet Pumping Station, Brgy. Concepcion Dos, Marikina City",MARIKINA CITY,"L.R. TIQUI BUILDERS, INC.","46,531,568.36","46,531,568.36",11/03/2021,03/01/2023,National Capital Region,21OB0261,"L.R. TIQUI BUILDERS, INC.",MARIKINA CITY
"Construction of A. Canao Bridge Towards Camalog (Channeling, Embankment Dike, Revetment), along Chico River, Sta. 92+700 - Sta. 93+500 (Right Bank), Tabuk City, Kalinga.",KALINGA,OMENGAN CONSTRUCTION & DEVELOPMENT CORPORATION,"76,424,709.06","76,424,709.06",04/08/2022,02/28/2023,Cordillera Administrative Region,21PL0009,OMENGAN CONSTRUCTION & DEVELOPMENT CORPORATION,KALINGA
"Construction of River Protection Dike, Brgy. Calian, Mangudadatu, Maguindanao",MAGUINDANAO DEL SUR,FFJJ CONSTRUCTION,MYCA with Project ID P00444655MN,,10/22/2020,02/27/2023,Bangsamoro Autonomous Region in Muslim Mindanao,20MA0119,FFJJ CONSTRUCTION,MAGUINDANAO DEL SUR
"Construction of Slope Protection Dike, Brgy. Maslabeng, Buluan, Maguindanao",MAGUINDANAO DEL SUR,FFJJ CONSTRUCTION,MYCA with Project ID P00444687MN,,09/24/2020,02/27/2023,Bangsamoro Autonomous Region in Muslim Mindanao,20MA0105,FFJJ CONSTRUCTION,MAGUINDANAO DEL SUR
"Construction of Revetment along Talomo River, Sta. 3 + 542 to Sta. 3 + 817, Right Bank, Davao City",DAVAO DEL SUR,GENESIS88 CONSTRUCTION INC.,"88,780,000.00","88,780,000.00",12/16/2021,02/25/2023,Region XI,21LB0296,GENESIS88 CONSTRUCTION INC.,DAVAO DEL SUR
"Drainage Improvement of Roads within Zone 41 - 57, Manila City",CITY OF MANILA,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","47,284,638.82","47,284,638.82",03/30/2022,02/24/2023,National Capital Region,21OE0128,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J",CITY OF MANILA
"Construction of Revetment Wall/Sheetpiling of Moonwalk Creek from Don Galo River - Moonwalk Creek Junction to Armstrong Phase 2, Brgy. Moonwalk, Parañaque City",PARAÑAQUE CITY,MACSTRENGTH CONSTRUCTION,"29,399,024.81","29,399,024.81",05/24/2022,02/17/2023,National Capital Region,21OC0036,MACSTRENGTH CONSTRUCTION,PARAÑAQUE CITY
"Construction of Drainage System along Botong Francisco Ave. Ext. Brgy. Mahabang Parang, Angono, Rizal",RIZAL,AARCON BUILDERS,"44,510,754.03","44,510,754.03",03/24/2022,02/15/2023,Region IV-A,21DN0125,AARCON BUILDERS,RIZAL
"Construction of Flood Control, Barangay Little Baguio, San Juan City",SAN JUAN CITY,JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,"46,495,969.51","46,495,969.51",02/24/2022,02/13/2023,National Capital Region,21OB0207,JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,SAN JUAN CITY
"Construction of Revetment along Agusan River Basin, Esperanza Section, Agusan del Sur",AGUSAN DEL SUR,ADFIL CORPORATION,"115,032,425.16","115,032,425.16",01/03/2022,02/11/2023,Region XIII,21N00083,ADFIL CORPORATION,AGUSAN DEL SUR
"Rehabilitation of Tullahan River and tributaries, Fairview, Novaliches, Quezon City",QUEZON CITY,E.L. TORRES CONSTRUCTION AND TRADING INC. (FORMERLY : E. L. TORRES CONSTRUCTION & TRADING,"47,530,000.00","47,530,000.00",02/16/2022,02/10/2023,National Capital Region,21OF0156,E.L. TORRES CONSTRUCTION AND TRADING INC. (FORMERLY : E. L. TORRES CONSTRUCTION & TRADING,QUEZON CITY
"Pasig-Marikina River Channel Improvement Project, Phase V, Contract Package 8 - River Improvement Works along Upper Marikina River (Upstream of Marikina Bridge) Sta. 19+571.86 to 19+601.86, Left Bank, Marikina City",MARIKINA CITY,11-16 CONSTRUCTION,"54,988,500.69","54,988,500.69",03/17/2022,02/09/2023,National Capital Region,21OB0312,11-16 CONSTRUCTION,MARIKINA CITY
"Construction of Road Slope Protection along Road Leading to Limasawa Heritage Site, Limasawa, Southern Leyte",SOUTHERN LEYTE,"B. VICENCIO BUILDERS (BVB), INC. (FORMERLY:B. VICENCIO CONSTRUCTION) / JGO BUILDERS","96,500,000.00","96,500,000.00",11/22/2021,02/04/2023,Region VIII,21IL0134,"B. VICENCIO BUILDERS (BVB), INC. (FORMERLY:B. VICENCIO CONSTRUCTION) / JGO BUILDERS",SOUTHERN LEYTE
"Construction of Malasila River Flood Control L/S , Brgy. Sta. Filomina and Brgy. Poblacion Section, Makilala, North Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,"49,000,000.00","49,000,000.00",03/07/2022,02/02/2023,Region XII,21MC0073,LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,COTABATO (NORTH COTABATO)
"Construction of Seawall, Brgy Panique, Caramoran, Catanduanes",CATANDUANES,BICOL GOLDROCK CONSTRUCTION CORPORATION,"14,848,757.90","14,848,757.90",01/18/2022,01/30/2023,Region V,21FH0071,BICOL GOLDROCK CONSTRUCTION CORPORATION,CATANDUANES
"Construction of Drainage System leading to Roxas Maindrain, Davao City",DAVAO DEL SUR,MITZ CONSTRUCTION AND SUPPLY / O. G. SANTOS CONSTRUCTION,"96,500,000.00","96,500,000.00",01/16/2022,01/25/2023,Region XI,21LB0287,MITZ CONSTRUCTION AND SUPPLY / O. G. SANTOS CONSTRUCTION,DAVAO DEL SUR
"Construction of Flood Mitigation Structures along Larena-Basac-Maria Road, Siquijor",SIQUIJOR,JASA GD 2000 CONSTRUCTION CORPORATION (FORMERLY:JASA BUILDER'S),"96,499,997.28","96,499,997.28",01/13/2022,01/24/2023,Negros Island Region,21H00044,JASA GD 2000 CONSTRUCTION CORPORATION (FORMERLY:JASA BUILDER'S),SIQUIJOR
"Construction of Pagatban River Contriol, Upstream A, Pagatban, Negros Oriental",NEGROS ORIENTAL,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)","49,000,000.00","49,000,000.00",02/22/2021,01/24/2023,Negros Island Region,21HL0045,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)",NEGROS ORIENTAL
"Construction of Dun-ol Sangab Flood Control along Pasil River Sta.175+270 - Sta 175+630 (L.S.), Amdalao, Guina-ang, Pasil, Kalinga",KALINGA,BLESSING BUILDERS AND CONSTRUCTION SUPPLY,"19,939,080.00","19,939,080.00",04/10/2022,01/23/2023,Cordillera Administrative Region,21PK0020,BLESSING BUILDERS AND CONSTRUCTION SUPPLY,KALINGA
"Construction of Flood Control Structures along Bocaue River, Bocaue, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC.,"96,499,940.40","96,499,940.40",01/28/2022,01/22/2023,Region III,21CC0292,TOPNOTCH CATALYST BUILDERS INC.,BULACAN
"Construction of River Bank Protection (Revetment) at Esteros River-Upstream Phase II, Cotabato City",MAGUINDANAO DEL NORTE,ABU CONSTRUCTION,"67,549,998.47","67,549,998.47",03/08/2022,01/15/2023,Bangsamoro Autonomous Region in Muslim Mindanao,21M00068,ABU CONSTRUCTION,MAGUINDANAO DEL NORTE
"Reconstruction of Canayun-Sirit-Dana-ili Flood Control Along Abulug River , Abulug, Cagayan Sta. 12+700 - Sta. 12+860, Sta. 13+220 - Sta. 13+300 (L/S)",CAGAYAN,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"96,500,000.00","96,500,000.00",12/06/2021,01/12/2023,Region II,21BC0070,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),CAGAYAN
"Construction of Marat Flood Control, Sta. 119 + 470 - Sta. 119 + 520 (R.S.), Sta. 119 + 623.5 - Sta. 119 + 666 (R.S.), Sta. 119 + 672 - Sta. 119 + 880 (R.S.), Sta. 119 + 470 - Sta. 119 + 865 (L.S.), Sta. 119 + 690 - Sta. 119 + 880 (L.S.), Paracelis, Mountain Province",MOUNTAIN PROVINCE,MG SAMIDAN CONSTRUCTION / R.S. SEPIAN CONSTRUCTION & TRUCKING,"84,270,555.00","84,270,555.00",04/07/2022,01/11/2023,Cordillera Administrative Region,21PM0002,MG SAMIDAN CONSTRUCTION / R.S. SEPIAN CONSTRUCTION & TRUCKING,MOUNTAIN PROVINCE
"Pasig-Marikina River Channel Improvement Project, Phase V, Contract Package 8 - River Improvement Works along Upper Marikina River (Upstream of Marikina Bridge) Sta. 19+601.86 to Sta. 19+621.86, Left Bank, Marikina City",MARIKINA CITY,11-16 CONSTRUCTION,"51,780,561.65","51,780,561.65",03/17/2022,01/10/2023,National Capital Region,21OB0313,11-16 CONSTRUCTION,MARIKINA CITY
"Construction/Improvement of Drainage System, Hashim Street to Funda and Anduhol Street, Ipil, Zamboanga Sibugay",ZAMBOANGA SIBUGAY,ALBE CONSTRUCTION & ENTERPRISES,"14,816,160.07","14,816,160.07",04/05/2021,01/09/2023,Region IX,21JF0100,ALBE CONSTRUCTION & ENTERPRISES,ZAMBOANGA SIBUGAY
